Date,Calories Burned,Steps,Distance,Floors,Minutes Sedentary,Minutes Lightly Active,Minutes Fairly Active,Minutes Very Active,Activity Calories,Weekday
2022-05-01,1412,"4,203",1.61,4,584,184,8,0,452,N
2022-05-02,1339,"3,128",1.24,6,678,142,5,3,352,Y
2022-05-03,1378,"3,510",1.39,3,682,187,0,0,420,Y
2022-05-04,1450,"4,494",1.78,7,713,207,0,0,488,Y
2022-05-05,1450,"4,195",1.65,10,627,239,0,0,525,Y
2022-05-06,1425,"4,087",1.62,4,647,185,13,1,470,Y
2022-05-07,2140,"25,313",10.02,32,677,350,67,49,"1,390",N
2022-05-08,1383,"3,542",1.35,8,365,170,0,0,418,N
2022-05-09,1396,"4,707",1.86,9,859,187,0,0,442,Y
2022-05-10,1455,"5,258",2.08,8,469,199,14,3,517,Y
2022-05-11,1493,"5,685",2.22,11,641,207,3,13,558,Y
2022-05-12,1392,"3,447",1.36,7,784,189,8,1,431,Y
2022-05-13,1482,"5,883",2.32,16,447,192,6,7,528,Y
2022-05-14,2030,"20,247",7.89,34,527,335,42,43,"1,232",N
2022-05-15,1475,"5,830",2.32,11,685,239,0,0,553,N
2022-05-16,1410,"4,405",1.73,5,689,194,0,0,456,Y
2022-05-17,1487,"5,561",2.18,9,786,236,8,0,573,Y
2022-05-18,1454,"4,673",1.83,10,609,196,11,5,514,Y
2022-05-19,1549,"6,043",2.31,15,775,218,10,9,615,Y
2022-05-20,1460,"4,071",1.61,11,633,164,19,11,498,Y
2022-05-21,1537,"6,989",2.76,23,563,248,9,3,631,N
2022-05-22,1593,"9,394",3.67,30,705,211,19,10,665,N
2022-05-23,1421,"4,685",1.83,9,733,168,7,5,457,Y
2022-05-24,1574,"5,689",2.23,14,630,219,19,11,653,Y
2022-05-25,1481,"5,494",2.09,24,"1,004",178,6,11,521,Y
2022-05-26,1453,"5,737",2.27,10,398,211,0,0,511,Y
2022-05-27,1354,"3,254",1.29,5,664,179,0,0,383,Y
2022-05-28,1959,"21,643",8.61,34,771,216,92,54,"1,131",N
2022-05-29,1028,"1,954",0.77,3,235,109,0,0,263,N
